,year,type,country,sex_,age,species_,fatal_(y/n),date
0,2018,Boating,usa,F,57,White shark,N,25-Jun-2018
1,2018,Unprovoked,usa,F,11,,N,18-Jun-2018
2,2018,Invalid,usa,M,48,,N,09-Jun-2018
3,2018,Unprovoked,australia,M,,2 m shark,N,08-Jun-2018
4,2018,Provoked,mexico,M,,"Tiger shark, 3m",N,04-Jun-2018
5,2018,Unprovoked,australia,M,,,N,03-Jun-2018
6,2018,Unprovoked,brazil,M,18,Tiger shark,Y,03-Jun-2018
7,2018,Unprovoked,usa,M,52,"Lemon shark, 3'",N,27-May-2018
8,2018,Unprovoked,usa,M,15,"Bull shark, 6'",N,26-May-2018
9,2018,Unprovoked,usa,M,12,,N,26-May-2018
10,2018,Provoked,australia,M,32,Grey reef shark,N,24-May-2018
11,2018,Unprovoked,usa,M,10,,N,21-May-2018
12,2018,Unprovoked,usa,M,10,,N,13-May-2018
13,2018,Invalid,england,M,21,Invalid incident,N,13-May-2018
14,2018,Provoked,australia,F,34,"Tawny nurse shark, 2m",N,May 2018
15,2018,Unprovoked,south africa,M,,,N,12-May-2018
16,2018,Questionable,australia,M,,Shark involvement not confirmed,N,09-May-2018
17,2018,Unprovoked,thailand,M,,,N,Reported 30-Apr-2018
18,2018,Unprovoked,costa rica,M,30,Tiger shark,N,28-Apr-2018
19,2018,Unprovoked,australia,M,,,N,28-Apr-2018
20,2018,Questionable,australia,M,,Questionable,N,25-Apr-2018
21,2018,Unprovoked,australia,M,60,3 m shark,N,25-Apr-2018
22,2018,Unprovoked,australia,M,,"White shark, 3.5 m",N,24-Apr-2018
23,2018,Unprovoked,maldives,M,32,Tiger shark,N,23-Apr-2018
24,2018,Unprovoked,south africa,M,33,"White shark, 2.5 m",N,22-Apr-2018
25,2018,Unprovoked,usa,M,29,6' shark,N,19-Apr-2018
26,2018,Unprovoked,thailand,M,54,Juvenile bull shark,N,15-Apr-2018
27,2018,Unprovoked,brazil,M,34,,,15-Apr-2018
28,2018,Unprovoked,australia,M,41,,N,15-Apr-2018
29,2018,Unprovoked,australia,M,37,,N,15-Apr-2018
30,2018,Unprovoked,bahamas,M,,Tiger shark,N,14-Apr-2018
31,2018,Invalid,brazil,M,56,Shark involvement not confirmed,N,Reported 10-Apr-2018
32,2018,Unprovoked,new caledonia,,,2 m shark,N,09-Apr-2018
33,2018,Unprovoked,bahamas,M,12,Bull shark,N,05-Apr-2018
34,2018,Unprovoked,south africa,M,19,White shark,N,03-Apr-2018
35,2018,Unprovoked,usa,M,25,"Tiger shark, 12'",N,31-Mar-2018
36,2018,Unprovoked,australia,M,10,Wobbegong shark,N,14-Mar-2018
37,2018,Unprovoked,australia,M,69,3.5 m shark,N,9-Mar-2018
38,2018,Unprovoked,australia,M,18,1.8 m shark,N,9-Mar-2018
39,2018,Unprovoked,south africa,M,38,Blacktip shark,N,24-Feb-2018
40,2018,Unprovoked,australia,F,55,"Juvenile white shark,  2.7 to 3.2 m",N,23-Feb-2018
41,2018,Provoked,australia,M,34,,N,18-Feb-2018
42,2018,Unprovoked,australia,M,35,"Bull shark, 2 m",N,15-Feb-2018
43,2018,Invalid,australia,F,,Possibly a wobbegong,N,14-Feb-2018
44,2018,Invalid,brazil,F,46,"Injury believed caused by an eel, not a shark",N,11-Feb-2018
45,2018,Unprovoked,ecuador,M,45,Galapagos shark?,N,03-Feb-2018
46,2018,Invalid,australia,M,14,2m shark,N,01-Feb-2018
47,2018,Unprovoked,australia,M,18,Bull shark,N,28-Jan-2018
48,2018,Unprovoked,new caledonia,M,40s,"Bull shark, 3 m ",N,21-Jan-2018
49,2018,Unprovoked,australia,M,,Grey reef shark. 2 m,N,14-Jan-2018
50,2018,Unprovoked,australia,M,28,"White shark, 3.5 m",N,13-Jan-2018
51,2018,Unprovoked,brazil,M,20,small shark,N,12-Jan-2018
52,2018,Unprovoked,australia,M,,Wobbegong shark?,N,05-Jan-2018
53,2017,Unprovoked,usa,F,54,Tiger shark,N,31-Dec-2017
54,2017,Unprovoked,usa,F,35,,N,30-Dec-2017
55,2017,Provoked,malaysia,M,24,Juvenile nurse shark,N,21-Dec-2017
56,2017,Unprovoked,bahamas,F,25,Nurse shark. 5',N,09-Dec-2017
57,2017,Unprovoked,costa rica,M,26,"Tiger shark, female",N,30-Nov-2017
58,2017,Unprovoked,costa rica,F,49,"Tiger shark, female",Y,30-Nov-2017
59,2017,Sea Disaster,libya,,,Some drowned but other may have been killed by blue sharks,Y,Reported 25-Nov-2017
60,2017,Unprovoked,usa,M,25,"White shark, 4.6 m",N,24-Nov-2017
61,2017,Unprovoked,usa,F,14,,N,18-Nov-2017
62,2017,Unprovoked,,M,24,,N,Reported 13-Nov-2017
63,2017,Unprovoked,australia,M,25,2 m shark,N,13-Nov-2017
64,2017,Unprovoked,cuba,M,22,Tiger shark,Y,04-Nov-2017
65,2017,Unprovoked,australia,M,7,Cookiecutter shark,N,Reported 31-Oct-2017
66,2017,Unprovoked,australia,M,31,"Wobbegong shark, 1 m",N,28-Oct-2017
67,2017,Unprovoked,usa,M,,,N,26-Oct-2017
68,2017,Unprovoked,mauritius,M,,,N,23-Oct-2017
69,2017,Unprovoked,usa,M,17,,N,23-Oct-2017
70,2017,Unprovoked,usa,F,60,,N,23-Oct-2017
71,2017,Unprovoked,australia,F,15,"White shark, 4.5 m",N,22-Oct-2017
72,2017,Unprovoked,new zealand,M,,2 m shark,N,21-Oct-2017
73,2017,Unprovoked,usa,M,,"Spinner shark, 4 to 5 feet",N,18-Oct-2017
74,2017,Unprovoked,usa,M,54,"Tiger shark, 8 to 10 feet",N,09-Oct-2017
75,2017,Unprovoked,usa,F,40,8' shark,N,05-Oct-2017
76,2017,Invalid,south africa,M,31,Death may have been due to drowning,,01-Oct-2017
77,2017,Unprovoked,usa,M,,5' shark,N,25-Sep-2017
78,2017,Unprovoked,australia,M,,"White shark, 3.5 m",N,25-Sep-2017
79,2017,Invalid,usa,M,33,Questionable,,24-Sep-2017
80,2017,Unprovoked,usa,M,,4' to 5' shark,N,24-Sep-2017
81,2017,Unprovoked,usa,M,,,N,20-Sep-2017
82,2017,Unprovoked,spain,M,13,"Porbeagle, 1.5 m",N,16-Sep-2017
83,2017,Unprovoked,usa,M,28,,N,16-Sep-2017
84,2017,Invalid,south africa,M,25,,,15-Sep-2017
85,2017,,samoa,M,,,N,15-Sep-2017
86,2017,Boating,australia,,,"White shark, 3.5m",N,Sep-2017
87,2017,Unprovoked,usa,M,18,5' to 6' shark,N,13-Sep-2017
88,2017,Unprovoked,australia,M,,,N,10-Sep-2017
