,type,country,sex_,species_,fatal_(y/n),date,new_sex,new_type,year,age,new_age
0,Boating,usa,F,white_shark,N,25-Jun-2018,F,Boating,2018.0,57.0,57.0
1,Unprovoked,usa,F,unspecified,N,18-Jun-2018,F,Unprovoked,2018.0,11.0,11.0
2,Invalid,usa,M,unspecified,N,09-Jun-2018,M,Invalid,2018.0,48.0,48.0
3,Unprovoked,australia,M,unspecified,N,08-Jun-2018,M,Unprovoked,2018.0,27.6,27.32915451895044
4,Provoked,mexico,M,tiger_shark,N,04-Jun-2018,M,Provoked,2018.0,27.6,27.32915451895044
5,Unprovoked,australia,M,unspecified,N,03-Jun-2018,M,Unprovoked,2018.0,27.6,27.32915451895044
6,Unprovoked,brazil,M,tiger_shark,Y,03-Jun-2018,M,Unprovoked,2018.0,18.0,18.0
7,Unprovoked,usa,M,bull_shark,N,27-May-2018,M,Unprovoked,2018.0,52.0,52.0
8,Unprovoked,usa,M,unspecified,N,26-May-2018,M,Unprovoked,2018.0,15.0,15.0
9,Unprovoked,usa,M,unspecified,N,26-May-2018,M,Unprovoked,2018.0,12.0,12.0
10,Provoked,australia,M,grey_shark,N,24-May-2018,M,Provoked,2018.0,32.0,32.0
11,Unprovoked,usa,M,unspecified,N,21-May-2018,M,Unprovoked,2018.0,10.0,10.0
12,Unprovoked,usa,M,unspecified,N,13-May-2018,M,Unprovoked,2018.0,10.0,10.0
13,Invalid,england,M,unspecified,N,13-May-2018,M,Invalid,2018.0,21.0,21.0
14,Provoked,australia,F,unspecified,N,May 2018,F,Provoked,2018.0,34.0,34.0
15,Unprovoked,south africa,M,unspecified,N,12-May-2018,M,Unprovoked,2018.0,27.6,27.32915451895044
16,Questionable,australia,M,unspecified,N,09-May-2018,M,Questionable,2018.0,27.6,27.32915451895044
17,Unprovoked,thailand,M,unspecified,N,Reported 30-Apr-2018,M,Unprovoked,2018.0,27.6,27.32915451895044
18,Unprovoked,costa rica,M,tiger_shark,N,28-Apr-2018,M,Unprovoked,2018.0,30.0,30.0
19,Unprovoked,australia,M,unspecified,N,28-Apr-2018,M,Unprovoked,2018.0,27.6,27.32915451895044
20,Questionable,australia,M,unspecified,N,25-Apr-2018,M,Questionable,2018.0,27.6,27.32915451895044
21,Unprovoked,australia,M,unspecified,N,25-Apr-2018,M,Unprovoked,2018.0,60.0,60.0
22,Unprovoked,australia,M,white_shark,N,24-Apr-2018,M,Unprovoked,2018.0,27.6,27.32915451895044
23,Unprovoked,maldives,M,tiger_shark,N,23-Apr-2018,M,Unprovoked,2018.0,32.0,32.0
24,Unprovoked,south africa,M,white_shark,N,22-Apr-2018,M,Unprovoked,2018.0,33.0,33.0
25,Unprovoked,usa,M,unspecified,N,19-Apr-2018,M,Unprovoked,2018.0,29.0,29.0
