,year,type,country,sex_,age,species_,fatal_(y/n),date
0,2018,Boating,usa,F,57,white_shark,N,25-Jun-2018
1,2018,Unprovoked,usa,F,11,unspecified,N,18-Jun-2018
2,2018,Invalid,usa,M,48,unspecified,N,09-Jun-2018
3,2018,Unprovoked,australia,M,,unspecified,N,08-Jun-2018
4,2018,Provoked,mexico,M,,tiger_shark,N,04-Jun-2018
5,2018,Unprovoked,australia,M,,unspecified,N,03-Jun-2018
6,2018,Unprovoked,brazil,M,18,tiger_shark,Y,03-Jun-2018
7,2018,Unprovoked,usa,M,52,bull_shark,N,27-May-2018
8,2018,Unprovoked,usa,M,15,unspecified,N,26-May-2018
9,2018,Unprovoked,usa,M,12,unspecified,N,26-May-2018
10,2018,Provoked,australia,M,32,grey_shark,N,24-May-2018
11,2018,Unprovoked,usa,M,10,unspecified,N,21-May-2018
12,2018,Unprovoked,usa,M,10,unspecified,N,13-May-2018
13,2018,Invalid,england,M,21,unspecified,N,13-May-2018
14,2018,Provoked,australia,F,34,unspecified,N,May 2018
15,2018,Unprovoked,south africa,M,,unspecified,N,12-May-2018
16,2018,Questionable,australia,M,,unspecified,N,09-May-2018
17,2018,Unprovoked,thailand,M,,unspecified,N,Reported 30-Apr-2018
18,2018,Unprovoked,costa rica,M,30,tiger_shark,N,28-Apr-2018
19,2018,Unprovoked,australia,M,,unspecified,N,28-Apr-2018
20,2018,Questionable,australia,M,,unspecified,N,25-Apr-2018
21,2018,Unprovoked,australia,M,60,unspecified,N,25-Apr-2018
22,2018,Unprovoked,australia,M,,white_shark,N,24-Apr-2018
23,2018,Unprovoked,maldives,M,32,tiger_shark,N,23-Apr-2018
24,2018,Unprovoked,south africa,M,33,white_shark,N,22-Apr-2018
25,2018,Unprovoked,usa,M,29,unspecified,N,19-Apr-2018
26,2018,Unprovoked,thailand,M,54,unspecified,N,15-Apr-2018
27,2018,Unprovoked,brazil,M,34,unspecified,,15-Apr-2018
28,2018,Unprovoked,australia,M,41,unspecified,N,15-Apr-2018
29,2018,Unprovoked,australia,M,37,unspecified,N,15-Apr-2018
30,2018,Unprovoked,bahamas,M,,tiger_shark,N,14-Apr-2018
31,2018,Invalid,brazil,M,56,unspecified,N,Reported 10-Apr-2018
32,2018,Unprovoked,new caledonia,,,unspecified,N,09-Apr-2018
33,2018,Unprovoked,bahamas,M,12,unspecified,N,05-Apr-2018
34,2018,Unprovoked,south africa,M,19,white_shark,N,03-Apr-2018
35,2018,Unprovoked,usa,M,25,tiger_shark,N,31-Mar-2018
36,2018,Unprovoked,australia,M,10,unspecified,N,14-Mar-2018
37,2018,Unprovoked,australia,M,69,unspecified,N,9-Mar-2018
38,2018,Unprovoked,australia,M,18,unspecified,N,9-Mar-2018
39,2018,Unprovoked,south africa,M,38,unspecified,N,24-Feb-2018
40,2018,Unprovoked,australia,F,55,white_shark,N,23-Feb-2018
41,2018,Provoked,australia,M,34,unspecified,N,18-Feb-2018
42,2018,Unprovoked,australia,M,35,unspecified,N,15-Feb-2018
43,2018,Invalid,australia,F,,unspecified,N,14-Feb-2018
44,2018,Invalid,brazil,F,46,unspecified,N,11-Feb-2018
45,2018,Unprovoked,ecuador,M,45,unspecified,N,03-Feb-2018
46,2018,Invalid,australia,M,14,unspecified,N,01-Feb-2018
47,2018,Unprovoked,australia,M,18,unspecified,N,28-Jan-2018
48,2018,Unprovoked,new caledonia,M,40,unspecified,N,21-Jan-2018
49,2018,Unprovoked,australia,M,,grey_shark,N,14-Jan-2018
50,2018,Unprovoked,australia,M,28,white_shark,N,13-Jan-2018
51,2018,Unprovoked,brazil,M,20,unspecified,N,12-Jan-2018
52,2018,Unprovoked,australia,M,,unspecified,N,05-Jan-2018
53,2017,Unprovoked,usa,F,54,tiger_shark,N,31-Dec-2017
54,2017,Unprovoked,usa,F,35,unspecified,N,30-Dec-2017
55,2017,Provoked,malaysia,M,24,unspecified,N,21-Dec-2017
56,2017,Unprovoked,bahamas,F,25,unspecified,N,09-Dec-2017
57,2017,Unprovoked,costa rica,M,26,tiger_shark,N,30-Nov-2017
58,2017,Unprovoked,costa rica,F,49,tiger_shark,Y,30-Nov-2017
59,2017,Sea Disaster,libya,,,unspecified,Y,Reported 25-Nov-2017
60,2017,Unprovoked,usa,M,25,white_shark,N,24-Nov-2017
61,2017,Unprovoked,usa,F,14,unspecified,N,18-Nov-2017
62,2017,Unprovoked,,M,24,unspecified,N,Reported 13-Nov-2017
63,2017,Unprovoked,australia,M,25,unspecified,N,13-Nov-2017
64,2017,Unprovoked,cuba,M,22,tiger_shark,Y,04-Nov-2017
65,2017,Unprovoked,australia,M,7,unspecified,N,Reported 31-Oct-2017
66,2017,Unprovoked,australia,M,31,unspecified,N,28-Oct-2017
67,2017,Unprovoked,usa,M,,unspecified,N,26-Oct-2017
68,2017,Unprovoked,mauritius,M,,unspecified,N,23-Oct-2017
69,2017,Unprovoked,usa,M,17,unspecified,N,23-Oct-2017
70,2017,Unprovoked,usa,F,60,unspecified,N,23-Oct-2017
71,2017,Unprovoked,australia,F,15,white_shark,N,22-Oct-2017
